ID,artworkName,artistName,Time,Description,Size (in.),Size_cm,w (cm),h/cm,w/in,h/in,,,,,,,,,,,,,,,
201,Sunrise,Claude Monet,1872,"Claude Monet, Impression, soleil levant (Impression, Sunrise), 1872, oil on canvas, Musée Marmottan Monet, Paris. This painting became the source of the movement's name, after Louis Leroy's article The Exhibition of the Impressionists satirically implied that the painting was at most, a sketch.",18.9 in × 24.8 in,48 × 63,48,63,18.8976378,24.80314961,,,,,,,,,,,,,,,
202,"Pont Neuf, Paris",Pierre-Auguste Renoir,1872,"While his figure paintings are better known, Renoir's landscapes resonate with a vigor and freshness of vision central to the development of impressionism, most apparent here in his transcription of the effects of sunlight. Midday sun suffuses the panorama, its intensity heightening the artist's palette and suppressing incidental detail to clarify the crowded scene.",,93.7 x 75.3,93.7,75.3,36.88976378,29.64566929,,,,,,,,,,,,,,,
203,"Fog, Voisins",Alfred Sisley,1874,"Sisley, along with Monet, was one of the central proponents of the plein air technique, using this method in his famous paintings of the Voisins countryside, where he moved in 1871. Unlike Degas, Renoir, Cassatt, or Morisot, Sisley focused almost expressly on representations of the atmosphere while diminishing the importance of the human figure, if they appeared at all. Fog, Voisins demonstrates this general preoccupation with the visual perception of the natural world through the application of rough, clearly visible brushstrokes and the blurry, almost ethereal rendering of color and form.",,50.5 x 65,50.5,65,19.88188976,25.59055118,,,,,,,,,,,,,,,
204,"The Terrace at Saint-Germain, Spring",Alfred Sisley,1875,"In this panoramic view of the Seine River valley near the town of St.-Germain-en-Laye, Sisley captures the atmosphere and light conditions associated with early spring. On the heights in the distance, he includes the old château that housed the French royal court until 1682, but he also inserts some notes of modernity, including the steam tugs hauling barges on the river and the railroad bridge. Sisley was born in France of English parents. While enrolled in Charles Gleyre's studio in Paris, he and his fellow students, Claude Monet, Auguste Renoir, and Frédéric Bazille, began to paint outdoors in the Fontainebleau forest. In 1874, he showed five paintings in the first Impressionist exhibition. Of all the Impressionists, he and Monet would remain the most consistent landscape painters.",,w99.6 x h73.6 x d17.145,99.6,73.6,39.21259843,28.97637795,,,,,,,,,,,,,,,
205,"Paris Street, Rainy Day",Gustave Caillebotte,1877,"While the work of Gustave Caillebotte adheres to a distinctly realistic aesthetic that differs from most impressionistic renderings, his paintings reflect a similar concern with subjects of modern life. Paris Street, Rainy Day shows this tendency within his work, through the depiction of the typical urban scene; the panoramic view of the rain-drizzled boulevard presents the newly renovated metropolis, while the anonymous figures in the background emphasize the alienation of the individual within the city. The painting centers on the apathetic gaze of the male figure, who epitomizes the cool detachment of the flaneur, poised in his characteristic black coat and top hat. Like Caillebotte's other paintings, this work depicts the impact of modernity on the individual's psychology, the fleeting impressions of the street, and the effect of the changing urban sphere upon society.",83 1/2 x 108 3/4,212.2 x 276.2,212.2,276.2,83.54330709,108.7401575,,,,,,,,,,,,,,,
206,In the Conservatory,Edouard Manet,1878/1879 - 1879,"Manet preferred compositions with two figures as opposed to the straightforward portrait form because it opened up the possibility of interesting dialogue situations. The double portrait of Jules Guillemet and his wife, painted in the conservatory of the painter Johann Georges Otto Rosen, is one of the most important of these works because of the sensitivity with which it uses the most delicate nuances of colours and contrasts to describe and re-connect the psychologically tense, only outwardly detached, relationship of the two figures. The theme of the picture is the interplay between the elegant lady — the owner of a fashion shop in Paris — and the gentlemen turned in her direction.",,N/A,N/A,,,,,,,,,,,,,,,,,,
207,Vetheuil in the Fog,Claude Monet,1880,"In this view of Vétheuil, seen from the opposite bank of the Seine, the flicker of individual brushstrokes reflects Monet's concern with recording sensations of color and light as accurately as possible. Ironically, this practice resulted in paintings of an increasingly abstract nature. Indeed, the imagery nearly dissolves in the myriad touches of pain",23 5/8 x 39 1/4,60 x 99.7,60,99.7,23.62204724,39.2519685,,,,,,,,,,,,,,,
208,In the Loge,Mary Cassatt,1880,"Cassatt focused on modern subjects of the city under Haussmannization, while emphasizing, in particular, the private and public life of women. Here, she depicts the Palais Garnier of the Paris Opera, which was opened in 1875 and served as a focal point for the city's social life. As the painting demonstrates, the opera was not only a site for culture and entertainment, but also for seeing and being seen; the woman's binoculars, presumably directed at the stage, are echoed in the man's binoculars, across the concert hall, directed at her. Through this emphasis on looking, Cassatt arrives at a playful meditation on the act of visuality and the artist's gaze, which were central concerns of the Impressionist artists.",32 x 26 ,66 x 81.3,66,81.3,25.98425197,32.00787402,,,,,,,,,,,,,,,
209,Jeanne (Spring),Édouard Manet,1881,"A chic young woman in a day dress with floral accents holds a parasol against a background of exuberant foliage. She looks straight ahead, a picture of poise and detachment even as she seems fully aware of the viewer's admiring gaze. Representing aspiring Parisian actress Jeanne Demarsy as the embodiment of Spring, this portrait debuted at the last major public exhibition of Manet's life, the Paris Salon of 1882. For more than two decades, Manet's paintings were rejected by the Salon or met with controversy; Spring was the most unalloyed success of the artist's Salon career, a career that ended tragically a year later when Manet died of causes related to syphilis.",29 1/8 x 20 1/4,74 x 51.5,74,51.5,29.13385827,20.27559055,,,,,,,,,,,,,,,
210,"Shadows on the Sea. The Cliffs at Pourville
",Claude Monet,1882,"In his treatment of the sea surface Monet’s Impressionist technique can be seen fully developed. Shadows, reflections and movements are depicted in a series of short, curved brushstrokes in pure, unmixed pigments. If one examines the painting from a distance while peering with half-open eyes, the elements flow together into an optic unity and the painting’s surface seems almost to vibrate – precisely as on a hot summer day by the sea, where the surface of the water is broken by the wind to become a million small, flashing mirrors. It is this impression Monet wishes to convey, just as he experienced it that day on the cliffs at Pourville in 1882.",,80 x 57,80,57,31.49606299,22.44094488,,,,,,,,,,,,,,,
